run_id,architecture,tfup_s,tcp_s
43,A3_ROI_FIRST,108.62631271577261,108.62631271577261
43,A4_PROGRESSIVE,28.64269671577261,79.39377511577261
44,A0_GROUND_ONLY,310.7601584751103,310.7601584751103
44,A1_COMPRESSED_FULL,271.9725601448573,271.9725601448573
44,A2_QUICKLOOK_FIRST,19.197256014485735,19.197256014485735
44,A3_ROI_FIRST,111.97256014485734,111.97256014485734
44,A4_PROGRESSIVE,31.98894414485734,82.74002254485734
45,A0_GROUND_ONLY,331.25519277638466,331.25519277638466
45,A1_COMPRESSED_FULL,273.02650284789115,273.02650284789115
45,A2_QUICKLOOK_FIRST,19.302650284789113,19.302650284789113
45,A3_ROI_FIRST,113.02650284789112,113.02650284789112
45,A4_PROGRESSIVE,33.042886847891126,83.79396524789112
46,A0_GROUND_ONLY,229.04088281169075,229.04088281169075
46,A1_COMPRESSED_FULL,261.15427160573927,261.15427160573927
46,A2_QUICKLOOK_FIRST,19.211338879404853,19.211338879404853
46,A3_ROI_FIRST,112.11338879404852,112.11338879404852
46,A4_PROGRESSIVE,32.12977279404853,82.88085119404852
47,A0_GROUND_ONLY,312.71314058560046,312.71314058560046
47,A1_COMPRESSED_FULL,270.849237370016,270.849237370016
47,A2_QUICKLOOK_FIRST,19.0849237370016,19.0849237370016
47,A3_ROI_FIRST,110.84923737001598,110.84923737001598
47,A4_PROGRESSIVE,30.865621370015983,81.61669977001598
48,A0_GROUND_ONLY,309.58242660757145,309.58242660757145
48,A1_COMPRESSED_FULL,268.0609981465316,268.0609981465316
48,A2_QUICKLOOK_FIRST,18.80609981465316,18.80609981465316
48,A3_ROI_FIRST,108.0609981465316,108.0609981465316
48,A4_PROGRESSIVE,28.077382146531594,78.8284605465316
49,A0_GROUND_ONLY,296.7325581627773,296.7325581627773
49,A1_COMPRESSED_FULL,269.5719687215125,269.5719687215125
49,A2_QUICKLOOK_FIRST,18.95719687215125,18.95719687215125
49,A3_ROI_FIRST,109.57196872151252,109.57196872151252
49,A4_PROGRESSIVE,29.58835272151252,80.33943112151252
50,A0_GROUND_ONLY,291.3370048201387,291.3370048201387
50,A1_COMPRESSED_FULL,269.4853490239643,269.4853490239643
50,A2_QUICKLOOK_FIRST,18.948534902396432,18.948534902396432
50,A3_ROI_FIRST,109.48534902396433,109.48534902396433
50,A4_PROGRESSIVE,29.501733023964334,80.25281142396433
51,A0_GROUND_ONLY,284.6813259630562,284.6813259630562
51,A1_COMPRESSED_FULL,268.86931142890853,268.86931142890853
51,A2_QUICKLOOK_FIRST,18.88693114289085,18.88693114289085
51,A3_ROI_FIRST,108.8693114289085,108.8693114289085
51,A4_PROGRESSIVE,28.885695428908505,79.6367738289085
52,A0_GROUND_ONLY,309.0205534288382,309.0205534288382
52,A1_COMPRESSED_FULL,268.95631821501223,268.95631821501223
52,A2_QUICKLOOK_FIRST,18.895631821501226,18.895631821501226
52,A3_ROI_FIRST,108.95631821501225,108.95631821501225
52,A4_PROGRESSIVE,28.97270221501224,79.72378061501225
53,A0_GROUND_ONLY,228.05301403806686,228.05301403806686
53,A1_COMPRESSED_FULL,258.59367885494777,258.59367885494777
53,A2_QUICKLOOK_FIRST,19.05406648168809,19.05406648168809
53,A3_ROI_FIRST,110.54066481688089,110.54066481688089
53,A4_PROGRESSIVE,30.55704881688089,81.30812721688089
54,A0_GROUND_ONLY,284.0997476034552,284.0997476034552
54,A1_COMPRESSED_FULL,270.99203866575186,270.99203866575186
54,A2_QUICKLOOK_FIRST,19.099203866575188,19.099203866575188
54,A3_ROI_FIRST,110.99203866575186,110.99203866575186
54,A4_PROGRESSIVE,31.008422665751862,81.75950106575186
55,A0_GROUND_ONLY,298.5059709282107,298.5059709282107
55,A1_COMPRESSED_FULL,269.009793898877,269.009793898877
55,A2_QUICKLOOK_FIRST,18.900979389887695,18.900979389887695
55,A3_ROI_FIRST,109.00979389887695,109.00979389887695
55,A4_PROGRESSIVE,29.026177898876956,79.77725629887695
56,A0_GROUND_ONLY,349.420171990683,349.420171990683
56,A1_COMPRESSED_FULL,272.2131418724051,272.2131418724051
56,A2_QUICKLOOK_FIRST,19.221314187240516,19.221314187240516
56,A3_ROI_FIRST,112.21314187240515,112.21314187240515
56,A4_PROGRESSIVE,32.22952587240514,82.98060427240515
57,A0_GROUND_ONLY,301.4301819363504,301.4301819363504
57,A1_COMPRESSED_FULL,271.66594344178725,271.66594344178725
57,A2_QUICKLOOK_FIRST,19.166594344178726,19.166594344178726
57,A3_ROI_FIRST,111.66594344178728,111.66594344178728
57,A4_PROGRESSIVE,31.682327441787272,82.43340584178728
58,A0_GROUND_ONLY,318.3956723357702,318.3956723357702
58,A1_COMPRESSED_FULL,268.67470642762515,268.67470642762515
58,A2_QUICKLOOK_FIRST,18.867470642762516,18.867470642762516
58,A3_ROI_FIRST,108.67470642762515,108.67470642762515
58,A4_PROGRESSIVE,28.69109042762515,79.44216882762515
59,A0_GROUND_ONLY,330.86563043409546,330.86563043409546
59,A1_COMPRESSED_FULL,266.9350180831754,266.9350180831754
59,A2_QUICKLOOK_FIRST,18.693501808317542,18.693501808317542
59,A3_ROI_FIRST,106.93501808317542,106.93501808317542
59,A4_PROGRESSIVE,26.951402083175417,77.70248048317542
60,A0_GROUND_ONLY,293.8643253480102,293.8643253480102
60,A1_COMPRESSED_FULL,268.87157457776067,268.87157457776067
60,A2_QUICKLOOK_FIRST,18.887157457776063,18.887157457776063
60,A3_ROI_FIRST,108.87157457776064,108.87157457776064
60,A4_PROGRESSIVE,28.887958577760642,79.63903697776064
61,A0_GROUND_ONLY,293.99010895771295,293.99010895771295
61,A1_COMPRESSED_FULL,269.72606247034025,269.72606247034025
61,A2_QUICKLOOK_FIRST,18.972606247034026,18.972606247034026
61,A3_ROI_FIRST,109.72606247034027,109.72606247034027
61,A4_PROGRESSIVE,29.742446470340262,80.49352487034027
62,A0_GROUND_ONLY,285.7026287832476,285.7026287832476
62,A1_COMPRESSED_FULL,272.36536742175593,272.36536742175593
62,A2_QUICKLOOK_FIRST,19.23653674217559,19.23653674217559
62,A3_ROI_FIRST,112.36536742175592,112.36536742175592
62,A4_PROGRESSIVE,32.38175142175592,83.13282982175592
63,A0_GROUND_ONLY,285.77001039496685,285.77001039496685
63,A1_COMPRESSED_FULL,266.1981358410196,266.1981358410196
63,A2_QUICKLOOK_FIRST,18.619813584101962,18.619813584101962
63,A3_ROI_FIRST,106.19813584101962,106.19813584101962
63,A4_PROGRESSIVE,26.214519841019627,76.96559824101962
64,A0_GROUND_ONLY,332.60492354305086,332.60492354305086
64,A1_COMPRESSED_FULL,269.7122873790243,269.7122873790243
64,A2_QUICKLOOK_FIRST,18.97122873790243,18.97122873790243
64,A3_ROI_FIRST,109.71228737902429,109.71228737902429
64,A4_PROGRESSIVE,29.728671379024288,80.47974977902429
65,A0_GROUND_ONLY,349.29754842728096,349.29754842728096
