time_iso,single_in_contact,constellation_in_contact,single_queue_bytes,constellation_queue_bytes,handoff_sat_id
2020-01-01T02:20:00Z,0,0,4010803200,4010803200,
2020-01-01T02:20:30Z,0,0,4026531840,4026531840,
2020-01-01T02:21:00Z,0,0,4042260480,4042260480,
2020-01-01T02:21:30Z,0,0,4057989120,4057989120,
2020-01-01T02:22:00Z,0,0,4073717760,4073717760,
2020-01-01T02:22:30Z,0,0,4089446400,4089446400,
2020-01-01T02:23:00Z,0,0,4105175040,4105175040,
2020-01-01T02:23:30Z,0,0,4120903680,4120903680,
2020-01-01T02:24:00Z,0,0,4136632320,4136632320,
2020-01-01T02:24:30Z,0,0,4152360960,4152360960,
2020-01-01T02:25:00Z,0,0,4168089600,4168089600,
2020-01-01T02:25:30Z,0,0,4183818240,4183818240,
2020-01-01T02:26:00Z,0,0,4199546880,4199546880,
2020-01-01T02:26:30Z,0,0,4215275520,4215275520,
2020-01-01T02:27:00Z,0,0,4231004160,4231004160,
2020-01-01T02:27:30Z,0,0,4246732800,4246732800,
2020-01-01T02:28:00Z,0,0,4262461440,4262461440,
2020-01-01T02:28:30Z,0,0,4278190080,4278190080,
2020-01-01T02:29:00Z,0,0,4293918720,4293918720,
2020-01-01T02:29:30Z,0,0,4309647360,4309647360,
2020-01-01T02:30:00Z,0,0,4325376000,4325376000,
2020-01-01T02:30:30Z,0,0,4341104640,4341104640,
2020-01-01T02:31:00Z,0,0,4356833280,4356833280,
2020-01-01T02:31:30Z,0,0,4372561920,4372561920,
2020-01-01T02:32:00Z,0,0,4388290560,4388290560,
2020-01-01T02:32:30Z,0,0,4404019200,4404019200,
2020-01-01T02:33:00Z,0,0,4419747840,4419747840,
2020-01-01T02:33:30Z,0,0,4435476480,4435476480,
2020-01-01T02:34:00Z,0,0,4451205120,4451205120,
2020-01-01T02:34:30Z,0,0,4466933760,4466933760,
2020-01-01T02:35:00Z,0,0,4482662400,4482662400,
2020-01-01T02:35:30Z,0,0,4498391040,4498391040,
2020-01-01T02:36:00Z,0,0,4514119680,4514119680,
2020-01-01T02:36:30Z,0,0,4529848320,4529848320,
2020-01-01T02:37:00Z,0,0,4545576960,4545576960,
2020-01-01T02:37:30Z,0,0,4561305600,4561305600,
2020-01-01T02:38:00Z,0,0,4577034240,4577034240,
2020-01-01T02:38:30Z,0,0,4592762880,4592762880,
2020-01-01T02:39:00Z,0,0,4608491520,4608491520,
2020-01-01T02:39:30Z,0,0,4624220160,4624220160,
2020-01-01T02:40:00Z,0,0,4639948800,4639948800,
2020-01-01T02:40:30Z,0,0,4655677440,4655677440,
2020-01-01T02:41:00Z,0,0,4671406080,4671406080,
2020-01-01T02:41:30Z,0,0,4687134720,4687134720,
2020-01-01T02:42:00Z,0,0,4702863360,4702863360,
2020-01-01T02:42:30Z,0,0,4718592000,4718592000,
2020-01-01T02:43:00Z,0,0,4734320640,4734320640,
2020-01-01T02:43:30Z,0,0,4750049280,4750049280,
2020-01-01T02:44:00Z,0,0,4765777920,4765777920,
2020-01-01T02:44:30Z,0,0,4781506560,4781506560,
2020-01-01T02:45:00Z,0,0,4797235200,4797235200,
2020-01-01T02:45:30Z,0,0,4812963840,4812963840,
2020-01-01T02:46:00Z,0,0,4828692480,4828692480,
2020-01-01T02:46:30Z,0,0,4844421120,4844421120,
2020-01-01T02:47:00Z,0,0,4860149760,4860149760,
2020-01-01T02:47:30Z,0,0,4875878400,4875878400,
2020-01-01T02:48:00Z,0,0,4891607040,4891607040,
2020-01-01T02:48:30Z,0,0,4907335680,4907335680,
2020-01-01T02:49:00Z,0,0,4923064320,4923064320,
2020-01-01T02:49:30Z,0,0,4938792960,4938792960,
2020-01-01T02:50:00Z,0,0,4954521600,4954521600,
2020-01-01T02:50:30Z,0,0,4970250240,4970250240,
2020-01-01T02:51:00Z,0,0,4985978880,4985978880,
2020-01-01T02:51:30Z,0,0,5001707520,5001707520,
