architecture,thread,terminal_class,condition,trial_idx,total_passes,passes_met,cadence_rate,structural_incapacity,success
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,21,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,21,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,21,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,21,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,22,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,22,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,22,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,22,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,22,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,22,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,22,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,23,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,23,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,23,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,23,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,23,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,23,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,23,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,24,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,24,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,24,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,24,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,24,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,24,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,24,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,25,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,25,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,25,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,25,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,25,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,25,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,25,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,26,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,26,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,26,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,26,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,26,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,26,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,26,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,27,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,27,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,27,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,27,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,27,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,27,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,27,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,28,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,28,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,28,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,28,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,28,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,28,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,28,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,29,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,29,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,29,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,29,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,29,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,29,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,29,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,INTERFERENCE,0,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,INTERFERENCE,0,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,INTERFERENCE,0,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,INTERFERENCE,0,0,0,0.0,True,False
