satellites,planes,terminals,architecture,thread,n_trials,successes,success_rate,success_rate_ci_lower,success_rate_ci_upper
4,1,4,ContactAware,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
4,1,4,ContactAware,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
4,1,4,ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
4,1,4,ContactAware,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
4,1,4,GroundOnly,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
4,1,4,GroundOnly,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
4,1,4,GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
4,1,4,GroundOnly,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
4,1,4,Progressive,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
4,1,4,Progressive,MT2_ROUTE_RECON_FIRST,160,12,0.075,0.043420566103405354,0.12650941504912244
4,1,4,Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,160,12,0.075,0.043420566103405354,0.12650941504912244
4,1,4,Progressive,MT4_PERSISTENT_MONITORING,24,12,0.5,0.31427131627763083,0.6857286837223692
