architecture,thread,terminal_class,condition,trial_idx,latency_s,produced_tier,structural_incapacity,success,has_prior_reference
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,23,17405.295574373264,True,False,False,
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,23,nan,False,True,False,
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,23,17421.86045885326,True,False,False,
ContactAware,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,23,nan,False,True,False,
ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,23,17421.776572773262,True,False,False,
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,24,nan,False,True,False,
CompressedFull,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,24,nan,False,True,False,
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,24,37442.9300236244,True,False,False,
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,24,nan,False,True,False,
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,24,37459.4949081044,True,False,False,
ContactAware,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,24,nan,False,True,False,
ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,24,37459.411022024404,True,False,False,
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,25,nan,False,True,False,
CompressedFull,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,25,nan,False,True,False,
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,25,44196.128196986785,True,False,False,
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,25,nan,False,True,False,
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,25,44212.69308146679,True,False,False,
ContactAware,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,25,nan,False,True,False,
ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,25,44212.60919538679,True,False,False,
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,26,nan,False,True,False,
CompressedFull,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,26,nan,False,True,False,
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,26,21987.178049725586,True,False,False,
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,26,nan,False,True,False,
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,26,22003.742934205584,True,False,False,
ContactAware,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,26,nan,False,True,False,
ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,26,22003.659048125584,True,False,False,
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,27,nan,False,True,False,
CompressedFull,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,27,nan,False,True,False,
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,27,16564.542226910726,True,False,False,
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,27,nan,False,True,False,
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,27,16581.107111390724,True,False,False,
ContactAware,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,27,nan,False,True,False,
ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,27,16581.023225310724,True,False,False,
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,28,nan,False,True,False,
CompressedFull,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,28,nan,False,True,False,
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,28,30006.79827710892,True,False,False,
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,28,nan,False,True,False,
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,28,30023.363161588917,True,False,False,
