run_id,architecture,tfup_s,tcp_s,completed
50,A1_COMPRESSED_FULL,269.4853490239643,269.4853490239643,True
50,A2_QUICKLOOK_FIRST,18.948534902396432,,False
50,A3_ROI_FIRST,109.48534902396433,,False
50,A4_PROGRESSIVE,29.501733023964334,,False
51,A0_GROUND_ONLY,,,False
51,A1_COMPRESSED_FULL,268.86931142890853,268.86931142890853,True
51,A2_QUICKLOOK_FIRST,18.88693114289085,,False
51,A3_ROI_FIRST,108.8693114289085,,False
51,A4_PROGRESSIVE,28.885695428908505,,False
52,A0_GROUND_ONLY,,,False
52,A1_COMPRESSED_FULL,268.95631821501223,268.95631821501223,True
52,A2_QUICKLOOK_FIRST,18.895631821501226,,False
52,A3_ROI_FIRST,108.95631821501225,,False
52,A4_PROGRESSIVE,28.97270221501224,,False
53,A0_GROUND_ONLY,,,False
53,A1_COMPRESSED_FULL,,,False
53,A2_QUICKLOOK_FIRST,19.05406648168809,,False
53,A3_ROI_FIRST,110.54066481688089,,False
53,A4_PROGRESSIVE,30.55704881688089,,False
54,A0_GROUND_ONLY,,,False
54,A1_COMPRESSED_FULL,270.99203866575186,270.99203866575186,True
54,A2_QUICKLOOK_FIRST,19.099203866575188,,False
54,A3_ROI_FIRST,110.99203866575186,,False
54,A4_PROGRESSIVE,31.008422665751862,,False
55,A0_GROUND_ONLY,,,False
55,A1_COMPRESSED_FULL,269.009793898877,269.009793898877,True
55,A2_QUICKLOOK_FIRST,18.900979389887695,,False
55,A3_ROI_FIRST,109.00979389887695,,False
55,A4_PROGRESSIVE,29.026177898876956,,False
56,A0_GROUND_ONLY,,,False
56,A1_COMPRESSED_FULL,272.2131418724051,272.2131418724051,True
56,A2_QUICKLOOK_FIRST,19.221314187240516,,False
56,A3_ROI_FIRST,112.21314187240515,,False
56,A4_PROGRESSIVE,32.22952587240514,,False
57,A0_GROUND_ONLY,,,False
57,A1_COMPRESSED_FULL,271.66594344178725,271.66594344178725,True
57,A2_QUICKLOOK_FIRST,19.166594344178726,,False
57,A3_ROI_FIRST,111.66594344178728,,False
57,A4_PROGRESSIVE,31.682327441787272,,False
58,A0_GROUND_ONLY,,,False
58,A1_COMPRESSED_FULL,268.67470642762515,268.67470642762515,True
58,A2_QUICKLOOK_FIRST,18.867470642762516,,False
58,A3_ROI_FIRST,108.67470642762515,,False
58,A4_PROGRESSIVE,28.69109042762515,,False
59,A0_GROUND_ONLY,,,False
59,A1_COMPRESSED_FULL,266.9350180831754,266.9350180831754,True
59,A2_QUICKLOOK_FIRST,18.693501808317542,,False
59,A3_ROI_FIRST,106.93501808317542,,False
59,A4_PROGRESSIVE,26.951402083175417,,False
60,A0_GROUND_ONLY,,,False
60,A1_COMPRESSED_FULL,268.87157457776067,268.87157457776067,True
60,A2_QUICKLOOK_FIRST,18.887157457776063,,False
60,A3_ROI_FIRST,108.87157457776064,,False
60,A4_PROGRESSIVE,28.887958577760642,,False
61,A0_GROUND_ONLY,,,False
61,A1_COMPRESSED_FULL,269.72606247034025,269.72606247034025,True
61,A2_QUICKLOOK_FIRST,18.972606247034026,,False
